"Old_code","New_code"
"d57b181b","c9330f94"
"d57b181b","010d3db1"
"c8d04d00","199122a1"
"e866ba56","07421082"
"e866ba56","f0332c2a"
"e866ba56","1223af85"
"5647927e","01bd7b1c"
"5647927e","617af2f9"
"dfde462f","1429e510"
"dfde462f","07267c47"
"dfde462f","9d4c41be"
"ed3dbe4a","5fcb1de4"
"a65b6acf","0c48da19"
"f694a0d6","644b334d"
"adef8c3d","2c39cee7"
"5afadc50","45480b29"
"533a6598","2a284ca0"
"533a6598","e33cb57d"
"533a6598","451e868f"
"533a6598","7970b8d7"
"6bb25255","f05740ef"
"6bb25255","b9dd14c3"
"bdc6470d","ee143666"
"bdc6470d","b6afa021"
"935e6320","29a4ba1c"
"5b043dc0","856bc910"
"5b043dc0","e54bf8d8"
"5b043dc0","8aadf3ae"
"5b043dc0","8616f596"
"5b043dc0","1204ecf0"
"0181f0bb","7428dfbb"
"0181f0bb","4fb9b835"
"d177d0cf","e0339729"
"ab2c3586","c91bcf28"
